filename,phones
B22_441.wav,"['l', 'a', 'o', 'b̞', 'ɻ', 'ɻ̩', 'ʂ', 'uə', 't', 'uə', 'tʂ', 'ʌ', 'l', 'i', 'j', 'o', 'uə', 'ɕ', 'i', 'y', 'ɴ', 'k', 'ʌ', 'ŋ', 'n', 'e', 'iː', 'd͡ʒ', 'y', 'ts', 'a', 'i', 't̪ʰ', 'a', 'ɴ', 'pʰ', 'e', 'ɪ', 'ð', 'a', 'ɻ̩', 'ɕ', 'i', 'e', 'tʰ', 'a', 'o', 'ʂ', 'a', 'ɕ', 'i', 'a', 'o', 't', 'i', 'ə', 's̪', 'f', 'w', 'o', 'm', 'a', 'ʂ', 'a', 'ʂ', 'o', 'uə', 'tʂ', 'uə', 'ʌ', 'f', 'a']"
B4_489.wav,"['tɕʰ', 'i', 'ŋ', 't', 'a', 'ɪ', 'ɕ', 'y', 'e', 'ð', 'ɪ', 'tʂʰ', 'ʌ', 'ŋ', 'tʂ', 'uə', 'e', 'ɪ', 'w', 'e', 'ɪ', 'ts', 'o', 'ŋ', 'n', 'i', 'w', 'ʌ', 'n', 'w', 'a', 'ŋ', 'tʂ', 'ɻ̩', 'l', 'o', 'ŋ', 's̪', 'ʌ', 'ts', 'a', 'ɪ', 'l', 'i', 'o', 'uə', 'tɕ', 'i', 'kʰ', 'o', 'ŋ', 'ts', 'ɪ', 'i', 'n', 's', 'o', 'uə', 'kʰ', 'a', 'ɪ', 's', 'ɪ', 'ɕ', 'y', 'e', 'ts', 'ʌ', 'n', 'ɕ', 'i', 'o', 'k', 'uə', 'tɕ', 'i', 'ʂ', 'o', 'uə', 'tʰ', 'uə', 't͡ɕ', 'i', 'æ', 'a', 'ŋ', 'ɕ', 'y', 'ɒ', 'ɻ̩', 'tʂʰ', 'ʌ', 'ŋ', 'b̞', 'ɒ', 'a', 'n', 'ʂ', 'ɻ̩', 'ʂ', 'ɻ̩', 'b̞', 'i', 'j', 'a', 'o']"
B22_267.wav,"['tʂ', 'iː', 's̪', 'iː', 'ɪ', 'm', 'i', 'a', 'o', 's̪', 'uə', 'o', 'ɾ', 'uə', 'o', 'j', 'o', 'uə', 'tʂ', 'ə', 'd', 'ɪ', 'j', 'e', 'n', 'i', 'ŋ', 'ts', 'a', 'ɪ', 'j', 'uə', 'tʰ', 'a', 'ŋ', 'tʂʰ', 'a', 'ɴ', 'ʌ', 's̪', 'ɔ̃', 'ŋ', 'b̞', 'uə', 'a', 'ɳ', 't', 'i', 'ɾ', 'a', 'ɴ', 't͡ʃʲ', 'ɪ', 'tʲ', 'i', 'ʂ', 'ɪ', 'f', 'ɛ̃', 'ŋ', 'k͡p̚', 'uə', 'a', 'f', 'l', 'a', 'n', 'g', 'uə', 'a', 'n']"
B32_472.wav,"['tɕʰ', 'i', 'p', 'i', 'b̞', 'uə', 'o', 'tʂʰ', 'uə', 'a', 'n', 'ʂ', 'ʌ', 'n', 'tɕʰ', 'i', 'j', 'uə', 'e', 'j', 'uə', 'b̞', 'uə', 'o', 'j', 'uə', 'æ', 'n', 'x', 'uə', 'o', 'i', 'tɕ', 'i', 'tʂ', 'ɻ̩', 'ɕ', 'i', 'ɴ', 'i', 'a', 'o', 'tʰ', 'a', 'ɴ', 'j', 'uə', 's', 'a', 'ʁ', 'uə', 'o', 'tɕʰ', 'y', 'tɕ', 'i', 'iː', 'ɕ', 'i', 'ɴ', 'ə', 'tʲ', 'i', 'n', 'tɕ', 'i', 'ə']"
B8_391.wav,"['tɕʰ', 'y', 't', 'uə', 'o', 'ɕ', 'y', 'e', 'ɾ', 'ʌ', 'ɻ', 'ʌ', 'n', 'w', 'e', 'ɪ', 't̪', 'ɨ', 'ŋ', 'x', 'uə', 'a', 'ŋ', 'm', 'o', 'ð', 'ɒ', 'o', 'kʰ', 'uə', 's', 'uə', 'o', 'p', 'a', 'o', 'ʂ', 'ʌ', 'n', 'ɴ', 'ɪ', 'i', 'j', 'uə', 'w', 'ʌ', 'n', 'uə', 'p', 'i', 'k', 'uə', 'ɕ', 'i', 'l', 'a', 'k', 'o', 'uə', 'l', 'uə', 'o', 'b̞', 'a', 'ð', 'ɪ', 'k', 'ʌ', 'ŋ', 'tʂ', 'a', 'o', 'k', 'ʌ', 'ŋ', 'w', 'a', 'n', 'm', 'e', 'ɪ']"
B33_279.wav,"['t̪ʰ', 'i', 'ŋ', 'ɕ', 'i', 'ɴ', 'ɲ', 'ʌ', 'ŋ', 'p', 'uə', 'ɾ', 'a', 'o', 'j', 'o', 'ŋ', 'ʂ', 'ʊ', 'ɡ', 'e', 'ɴ', 'ɲ', 'uə', 'o', 'ʝ', 'a', 's', 'uə', 'ə', 'i', 'ə', 'tɕʰ', 'y', 'ɴ', 'ʂ', 'uə', 'o', 'tʰ', 'i', 'm', 'a', 'b̞', 'w', 'ɨ', 'a', 'b̞', 'ɪ', 'n', 'a', 's', 'ʏ', 'tɕʰ', 'i', 'æ', 'a', 'tʰ', 'a', 'ɪ', 's̪', 'o', 'g', 'æ', 'a', 's', 'uə', 'ɨ', 'ʂ', 'u']"
B2_265.wav,"['t̪ʰ', 'a', 'ɴ', 'n', 'd', 'æ', 'ɴ', 'tɕ', 'y', 'n', 's', 'œ', 'ɪ', 'lʲ', 'ɒ', 'm', 'e', 'ɪ', 'j', 'o', 'uə', 'tsʰ', 'a', 'n', 'ɴ', 'ɲ', 'j', 'a', 't̪', 'uə', 'e', 'i', 'ɪ', 'ð', 'ʌ', 'tʂ', 'æ', 'n', 'tʂ', 'ʌ', 'ŋ', 't', 'a', 'n', 'ʂ', 'i', 'o', 'uə', 'ʂ', 'i', 'l̪', 'a', 'x', 'uə', 'a', 'v', 'uə', 'ŋ', 'p', 'e', 'ɪ', 'pʰ', 'a', 'ɪ', 'f', 'uə', 'o', 'uə', 'ɾ', 'o', 'uə', 'tʂ', 'æ', 'n', 'tʂʰ', 'a', 'ŋ', 'w', 'e', 'ɪ', 'ɕ', 'i', 'j', 'uə', 'e', 'k', 'uə', 'o', 'tɕ', 'i', 'n', 'd', 'uə', 'e', 'ɪ', 'i', 'ʂ', 'u', 'uə', 't', 'a', 'n', 'j', 'a', 'o', 'tɕ', 'i', 'j', 'a', 'ŋ', 'x', 'ʌ', 'ɕ', 'i', 'o', 'uə', 'tʂ', 'uə', 'k', 'o', 'ŋ', 'ʂ', 'ɻ̩']"
B22_280.wav,"['ʁ', 'ʌ', 'ɴ', 'n', 'ʌ', 'ŋ', 'g', 'o', 'ɕ', 'i', 'n', 'f', 'a', 'ɪ', 'ʁ', 'uə', 'a', 'tsʰ', 'a', 'ɪ', 'ɴ', 'tʂʰ', 'a', 'f', 'lʲ', 'i', 'p', 'a', 'ʝ', 'e', 'ʂ', 'uə', 'a', 's', 'tɕ', 'i', 'æ', 'n', 'tʰ', 'a', 'ɪ', 'ʌ', 'ɕ', 'i', 'pʰ', 'i', 'ŋ', 'tʰ', 'i', 'tʰ', 'a', 'n', 'ʂ', 'æ', 'ŋ', 'p', 'i', 'a', 'o', 'ð', 'ə', 'p', 'a', 'g', 'ə', 'uə', 't', 'ɾ', 'a', 'd', 'a', 'iː', 'n', 'i', 'ɴ', 'tʲ', 'ɪ', 'tɕ', 'i', 'ə', 'uə']"
B12_353.wav,"['t̪', 'uə', 'a', 'n', 'ts', 'a', 'n', 'ɕ', 'i', 'ŋ', 'ɴ', 'a', 'o', 'tɕʰ', 'y', 'ɕ', 'y', 'e', 'f', 'a', 'ts', 'uə', 'o', 't', 'ɪ', 'p', 'i', 'ɪ', 'ŋ', 'j', 'iː', 'tɕ', 'i', 'tʂʰ', 'uə', 'ʂ', 'ɻ̩', 'l', 'uə', 'n', 'e', 'ɪ', 'ɴ', 'a', 'o', 't', 'o', 'ŋ', 'm', 'a', 'ɪ', 'ɕ', 'i', 'tʰ', 'o', 'ŋ', 'tʂ', 'o', 'uə', 'j', 'æ', 'a', 'ŋ', 'i', 'ŋ', 'x', 'uə', 'a', 'ɕ', 'i', 'tʂ', 'o', 'uə', 'j', 'æ', 'ŋ', 'p', 'a', 'n', 'kʰ', 'uə', 'a', 'ɪ', 'tʰ', 'uə', 'o', 'l', 'uə', 'o', 'i', 'ŋ', 'tɕʰ', 'i', 'l', 'uə', 'n', 'ɒ', 'ɪ', 'ɕ', 'i', 'a', 'o', 'ɕ', 'y', 'e', 'k͡p̚', 'uə', 'a', 'n', 'b̥', 'i', 's', 'ʌ', 'ə', 'ɒ', 'ɻ̩', 'f', 'a', 'p', 'i', 'ŋ']"
B22_276.wav,"['tʂ', 'e', 'ɾ', 'e', 'i', 'm', 'i', 'a', 'o', 'n', 'ʌ', 'ɡ', 'uə', 'j', 'uə', 'f', 'a', 'ɴ', 'j', 'a', 'ŋ', 't͡ɕ', 'ɨ', 'd', 'ɪ', 't', 'a', 'b̞', 'a', 'x', 'a', 'j', 'uə', 'x', 'ʌ', 'ts', 'ɪ', 'ə', 'j', 'uə', 'ð', 'ɪ', 'tɕ', 'i', 'p', 'i', 'ŋ', 'i', 'm', 'i', 'a', 'ŋ', 't', 'ɪ', 'ʂ', 'ɻ̩', 'j', 'o', 'ŋ', 'kʰ', 'e', 'ɪ', 't', 'a', 'ð', 'a', 'tɕ', 'i', 'e', 'ʂ', 'a', 'o', 'tɕʰ', 'i', 'tʂʰ', 'a', 'n', 'j', 'a', 'ŋ', 'tɕ', 'i', 'e', 'tʂ', 'o', 'ŋ', 's', 'uə', 'o', 'k', 'uə', 'a', 'ŋ', 'f', 'a', 'n', 'ɕ', 'y', 'e', 'l', 'ɪ', 'kʰ', 'a', 'ɴ', 'tɕ', 'i', 'n', 's', 'uə']"
