id,phones,label,intent,text,data-type,file
452,"['k̟ʲ', 'ɛ', 'm', 'n', 'v', 'ɪ', 's', 'n', 'ɛ']",0,DecreaseBrightness,dim the basement,smart-lights-en-close,1407.wav
636,"['a', 'm', 'a', 'ɪ', 's', 'sː', 'ɹ̩', 'ð', 'ɛ', 's', 'sː', 'ə', 'n', 'ʁ', 'a', 'ɪ', 's', 't', 'uː', 'b', 'ʁ', 'i', 'a', 'n']",6,PlayMusic,I'd like to listen to Lester Williams,smart-speaker-en-close,804.wav
196,"['ɡ', 'ɛ', 'ə', 'n', 'a', 'ʊ', 'f', 'd', 'a', 's', 's̪', 'ɛ', 'lː', 'a', 'ɾ', 't', 'l', 'a', 'ɪ']",4,SwitchLightOff,Turn off the cellar lights,smart-lights-en-close,1175.wav
1198,"['a', 'j', 'b̥', 'l', 'ɒ', 'j', 'ŋ', 'k', 't', 'ə', 'm', 'ɪ', 's', 'ə', 'n', 't', 'ə', 'tʃ', 'ɑ', 'ɹ', 'l', 'i', 'b̥', 'ɾ', 'a', 'w', 'n', 'd͡ʒ', 'y', 'n', 'j', 'ɹ']",6,PlayMusic,I'd like to listen to Charlie Brown Jr.,smart-speaker-en-close,722.wav
1648,"['ts', 'a', 's', 'ɻ̩', 'b̞', 'a', 'ʁ', 'f', 'ʏ', 'm', 'a', 'ɪ', 's', 'k̟ʲ', 'e', 'lʲ', 'ɪ', 'a', 'n', 't', 'e', 'z', 'ɛ', 'x', 'ə', 'n']",5,SwitchLightOn,Set the bathroom lights to the on position,smart-lights-en-close,989.wav
533,"['b̥', 'uə', 'ɤ̆', 'j', 's', 'ɔ', 'f', 'ɔ', 'ɹ', 'ɪ', 'n', 't', 'ɒ', 'j', 'ɹ̩', 'h', 'a', 'w', 's']",4,SwitchLightOff,lights off for entire house,smart-lights-en-close,1480.wav
1033,"['ɒ', 't̪', 'uə', 'ɒ', 'i', 'tʂʰ', 'o', 'b̞', 'uə', 'e', 'ɕ', 'i', 'n', 'ə', 'ɪ', 'e', 'ɳ', 'ɴ', 'f', 'a', 'ɾ', 'ɔ', 'ʊ', 'ɾ']",6,PlayMusic,I'd like to listen to Anfa Rose,smart-speaker-en-close,59.wav
965,"['a', 'ɪ', 'n', 'i', 'd', 'ɪ', 'u', 'uə', 'd', 'uə', 't', 'ə', 'ʊ', 'n', 't', 'e', 'l', 'a', 'ɪ', 'x', 'a', 'ʊ', 'f', 'ɪ', 'ŋ', 'd', 'ə', 'lʲ', 'ɛ', 's', 'n', 'ɪ']",4,SwitchLightOff,I need you to turn the lights off in the basement,smart-lights-en-close,368.wav
459,"['d', 'a', 'ə', 'n', 'ɪ', 'ŋ', 'ɾ', 'ɥ', 'ʏ', 'n', 'w', 'a', 'ɪ', 'ə', 'ts', 'ɹ̩', 'lʲ', 'i', 'n', 'ɑ', 'ð', 'a', 'ɪ', 'n']",2,SetLightBrightness,dining room light at thirty nine,smart-lights-en-close,1413.wav
486,"['ɒ', 'ɡ', 'a', 'ɴ', 'tʂ', 'uə', 'tʂ', 'ɔ', 'ɒ', 'ɳ', 'd', 'ə', 'l', 'æ', 'ɪ', 'zʲ']",5,SwitchLightOn,i want to turn the lights,smart-lights-en-close,1438.wav
