id,phones,label,intent,text,data-type,file
0,"['ɒ', 's', 't', 'ɻ̩', 'v', 'ɒ', 'i', 'b̞', 'ɔ', 'l', 'a', 'j', 's', 'ə', 'n', 'iː', 'z', 'h', 'ɹ̩', 'h', 'a', 'w', 's']",5,SwitchLightOn,Activate all the lights in the entire house.,smart-lights-en-close,0.wav
1,"['a', 'x', 'ə', 'v', 'ɪ', 'n', 't', 'v', 'ɛ', 'ɪ', 'x', 'm', 'e', 'ʁ', 'a', 'ɪ', 't']",5,SwitchLightOn,Activate basement lights,smart-lights-en-close,1.wav
2,"['a', 'l', 't͡ʃʲ', 'a', 's', 't', 'ə', 'v', 'a', 'l', 'ʐ', 'ə', 'm', 'uə', 'ɔ', 'ɪ', 'd', 'ɪ', 'n', 'ts', 'ə', 'n', 'ts', 'ə', 'ts', 'ɹ̩', 'l̪', 'l', 'dʲ', 'i', 'n', 'h', 'a', 'ɪ', 'n']",2,SetLightBrightness,Adjust the bedroom light intensity to thirty nine,smart-lights-en-close,10.wav
3,"['t͡ɕ', 'ɛ', 'n', 'j', 'u', 'n', 'p', 'uə', 'ʁ', 'i', 'z', 't͡ʃʲ', 'e', 'j', 'n', 'dʒ', 'f', 'ə', 'w', 'ʌ', 'j', 'lʲ', 'i', 'k', 'ɑ', 'l', 'ɹ̩', 'ts', 'ə', 'b̥', 'e', 'j']",3,SetLightColor,Can you please change the light color to pink,smart-lights-en-close,100.wav
4,"['ts', 'ɛ', 'ɪ', 'ə', 'n', 'd', 'ɑ', 'l', 'a', 'ɪ', 't', 'l', 'ə', 'ʃ', 'u', 'f', 'a', 'ɪ']",2,SetLightBrightness,Set the brightness to five.,smart-lights-en-close,1000.wav
5,"['t͡ʃʲ', 'a', 'l', 'z', 'ə', 'ts', 'ɹ', 'a', 'ɪ', 'n', 'ɛ', 's', 'tʂ', 'ɪ', 'lʲ', 's', 'p', 'a', 'ʁ', 'ɾ']",2,SetLightBrightness,Set the brightness to twelve.,smart-lights-en-close,1001.wav
6,"['t͡ʃʲ', 'a', 's', 't', 'ɛ', 'p', 'ɾ', 'r', 'a', 'ɪ', 'ɾ', 'ə', 'n', 'a', 's', 'ɪ', 'l', 'tʂʰ', 'w', 'a', 'ɛ̃', 'ɴ', 'ɕ', 'i']",2,SetLightBrightness,Set the brightness to twenty,smart-lights-en-close,1002.wav
7,"['ts', 'ʌ', 'n', 'b', 'o', 't̪', 'ɾ', 'a', 'ɪ', 'i', 's', 'l', 's', 'uə', 'tʂ', 'uə', 'a', 'ɪ', 'ɴ', 'pʲ', 'iː', 's̪', 'o', 'p', 'i', 'z']",2,SetLightBrightness,Set the brightness to twenty two please.,smart-lights-en-close,1003.wav
8,"['ts', 'ɛ', 's', 'tʂ', 'ʃ', 'a', 'l', 'ɒ', 'ɕ', 'iː', 't͡ʃʲ', 'ʏ', 'ɡ', 'uə']",2,SetLightBrightness,Set the cella to two,smart-lights-en-close,1004.wav
9,"['t͡ʃʲ', 'd', 'a', 's', 'ɪ', 's', 'sː', 'a', 'ʊ', 'b̞', 'ə', 'n', 'l', 'a', 'ɪ', 's', 't', 'ɛ', 's', 'w', 'ə', 'a', 'ʊ', 'f']",2,SetLightBrightness,Set the cellar light to twelve,smart-lights-en-close,1005.wav
10,"['ts', 'ɛ', 't', 'ɪ', 's', 'a', 'ʁ', 'a', 'l', 'a', 'ɪ', 'tʂ', 'ɹ̩', 't', 'ʏ']",2,SetLightBrightness,Set the cellar lights to two,smart-lights-en-close,1006.wav
