filename,phones
./LibriTTS/train-clean-100/19/227/19_227_000008_000000.wav,"['h', 'i', 'w', 'ɑ', 'z', 'n', 'ɑ', 'tʰ', 'ɪ', 'l', 'ɪ', 'n', 'k', 'ʁ', 'l', 'a', 'j', 'n', 'd', 't', 'ə', 'o', 'w', 'b̥', 'e', 'j', 'd', 'ə', 's', 'p', 'ɹ', 'ɪ', 'k', 'w', 'ɛ', 's', 't', 'f', 'ɔ', 'ɹ', 'ð', 'o', 'w', 'h', 'ɪ', 'z', 'h', 'ɑ', 'ɹ', 'tʰ', 'w', 'ɑ', 'z', 'g', 'ɹ', 'e', 'j', 'tʰ', 'l', 'i', 'ɹ', 'ɪ', 'l', 'i', 'v', 'd', 'b̥', 'a', 'j', 's', 'ʌ', 'tʃ', 'ə', 'n', 'l', 'ʊ', 'k', 't', 'f', 'ɔ', 'ɹ', 'ə', 'm', 'a', 'j', 'l', 'd', 'n', 'ə', 's', 'ɪ', 'tʰ', 'w', 'ɑ', 'z', 'n', 'ɑ', 'tʰ', 'dʒ', 'ʌ', 's', 't', 'æ', 'tʰ', 'ð', 'æ', 'tʰ', 'm', 'o', 'w', 'm', 'ə', 'n', 't', 'ɪ', 'n', 'h', 'ɪ', 'z', 'p', 'a', 'w', 'ɹ̩', 't', 'ə', 's', 'e', 'j', 'ɛ', 'n', 'i', 'θ', 'ɪ', 'ŋ', 't', 'ə', 'ð', 'ə', 'p', 'ɹ̩', 'p', 'ə', 's']"
./LibriTTS/train-clean-100/19/227/19_227_000004_000003.wav,"['a', 'j', 'd', 'ɪ', 'd', 'n', 'ɑ', 'tʰ', 'k', 'w', 'a', 'j', 'tʰ', 'l', 'a', 'j', 'k', 'æ', 'tʰ', 'ɹ', 'ɛ', 'k', 'f', 'ə', 's', 't', 'ə', 'h', 'ɪ', 'ɹ', 'j', 'u', 't', 'ɔ', 'k', 's', 'o', 'w', 'm', 'ʌ', 'tʃ', 'ə', 'b̥', 'a', 'w', 'tʰ', 'ð', 'ə', 'f', 'ɹ', 'ɛ', 'n', 'tʃ', 'b̥', 'ɹ', 'ɛ', 'd', 'æ', 'tʰ', 'n', 'ɔ', 'ɹ', 'θ', 'æ', 'ŋ', 'ɹ̩']"
./LibriTTS/train-clean-100/19/227/19_227_000000_000000.wav,"['t͡ʃʲ', 'æ', 't', 'ɾ', 'ə', 'θ', 'ɹ̩', 'tʰ', 'i']"
./LibriTTS/train-clean-100/19/227/19_227_000003_000000.wav,"['k', 'æ', 'θ', 'ɹ̩', 'ə', 'n', 't', 'ʊ', 'k', 'ʌ', 'p', 'h', 'ɹ̩', 'w', 'ɹ̩', 'k', 'd', 'ɹ̩', 'ɛ', 'k', 't', 'l', 'i', 's', 'æ', 'ŋ', 'ɪ', 'n', 'ə', 'd', 'ɪ', 'd͡ʒ', 'ɛ', 'k', 't', 'ə', 'd', 'v', 'o', 'j', 'ɪ', 's', 'p', 'ɛ', 's', 't', 'h', 'ɹ̩', 'h', 'ɛ', 'd', 'ɪ', 'd', 'n', 'ɑ', 'tʰ', 'ɹ', 'ʌ', 'n', 'ə', 'p', 'ʁ', 'ɑ', 'n', 'b̥', 'æ', 'θ', 'm', 'ʌ', 'tʃ']"
./LibriTTS/train-clean-100/19/227/19_227_000005_000000.wav,"['a', 'j', 'æ', 'm', 'ʃ', 'ʊ', 'ɹ', 'a', 'j', 'd', 'u', 'n', 'ɑ', 'tʰ', 'k', 'ɛ', 'ɹ', 'ə', 'b̥', 'a', 'w', 'tʰ', 'ð', 'ə', 'b̥', 'ɹ', 'ɛ', 'd']"
./LibriTTS/train-clean-100/19/227/19_227_000012_000000.wav,"['d͡ʒ', 'ɑ', 'n', 'θ', 'ɔ', 'ɹ', 'k', 'h', 'æ', 'd', 'f', 'ɹ̩', 's', 't', 'm', 'ɪ', 's', 'l', 'ɛ', 'd', 'h', 'ɪ', 'm']"
./LibriTTS/train-clean-100/19/198/19_198_000020_000000.wav,"['ð', 'a']"
./LibriTTS/train-clean-100/19/198/19_198_000024_000005.wav,"['ð', 'ɪ', 's', 'w', 'ɑ', 'z', 's', 't', 'ɹ', 'e', 'j', 'n', 'd͡ʒ', 'ɪ', 'n', 'd', 'i']"
./LibriTTS/train-clean-100/19/198/19_198_000012_000000.wav,"['t', 'ɹ', 'ʌ', 'ŋ̟', 'p', 'o', 'w', 'p', 'ʃ', 'i', 'l', 'ɹ̩', 'n', 't', 'ə', 's', 'ɛ', 'n', 'ʃ', 'ɻ̩', 'ð', 'o', 'w', 'z', 'h', 'u']"
./LibriTTS/train-clean-100/19/198/19_198_000000_000000.wav,"['ð', 'ɪ', 's', 'ɪ', 'z', 'ə', 'l', 'ɪ', 'b̥', 'ɾ', 'ʌ', 'v', 'ɑ', 'k', 's', 'ɹ', 'ə', 'k', 'ɔ', 'ɹ', 'd', 'ɪ', 'ŋ']"
