id,phones,label,intent,text,data-type,file
0,"['a', 't', 'ə', 'v', 'ɔ', 'lʲ', 'o', 'm', 'a', 'l', 'ʃ', 'ə', 'n', 'e', 'ə', 'f', 'a', 'h', 'a']",5,SwitchLightOn,Activate all the lights in the entire house.,smart-lights-en-far,0.wav
1,"['a', 'ʁ', 'd', 'ə', 'v', 'ɪ', 'v̞ʲ', 'ɪ', 'ʁ', 's', 'ɪ']",5,SwitchLightOn,Activate basement lights,smart-lights-en-far,1.wav
2,"['ɪ', 't', 't͡ʃʲ', 'a', 's', 'ə', 'ð', 'ɛ', 'm', 'w', 'ɔ', 'ɪ', 't', 'ə', 'n', 'ts', 'a', 'n', 'tʂ', 'e', 'ð', 'e', 't', 'o', 'ɪ', 'n', 'a', 'ɪ', 'n', 'ə']",2,SetLightBrightness,Adjust the bedroom light intensity to thirty nine,smart-lights-en-far,10.wav
3,"['k', 'ə', 'ɪ', 'p', 'ʁ', 'ɪ', 'ʂ', 'ʏ', 'o', 'k', 't', 'ɯ', 'v', 'ɪ']",3,SetLightColor,Can you please change the light color to pink,smart-lights-en-far,100.wav
4,"['h', 'ɔ', 'n', 'ə', 'k', 'uː', 'z', 'ə', 'm', 'a', 'lː', 'a']",2,SetLightBrightness,Set the brightness to five.,smart-lights-en-far,1000.wav
5,"['ts', 'a', 'ə', 'ts', 'a', 'ɪ', 'ə', 'n', 'ə', 'n', 'ɪ', 'a']",2,SetLightBrightness,Set the brightness to twelve.,smart-lights-en-far,1001.wav
6,"['d', 'a', 's', 'ɪ', 's', 'a', 'ɪ', 'ə', 'ʊ', 'n', 'ts', 'ɪ', 'n', 'ʁ', 'a', 'n', 'm', 'ɔ', 'n']",2,SetLightBrightness,Set the brightness to twenty,smart-lights-en-far,1002.wav
7,"['ə', 'p', 'ɔ', 'm', 'a', 't', 'ɔ', 's', 'uː', 's', 'ɒ', 'bʲ', 'ɪ', 'd', 'uə', 'ɪ']",2,SetLightBrightness,Set the brightness to twenty two please.,smart-lights-en-far,1003.wav
8,"['ʒ', 'ə', 'v', 'ɪ', 'ɕ', 'ɒ', 'ʁ', 'ɒ', 'tɕ', 'i', 'ɕ', 'tʂ', 'ɻ̩']",2,SetLightBrightness,Set the cella to two,smart-lights-en-far,1004.wav
9,"['a', 'd', 'ə', 'a', 'ɒ', 'u', 'v', 'a']",2,SetLightBrightness,Set the cellar light to twelve,smart-lights-en-far,1005.wav
10,"['s', 'ɛ', 'a', 'l', 'tʰ', 'ʌ', 'b̞', 'a', 'm', 'a', 'ɪ', 'tɕ', 'ɪ', 'tɕ', 'j', 'ɪ', 'ð', 'ʊ', 'a', 's']",2,SetLightBrightness,Set the cellar lights to two,smart-lights-en-far,1006.wav
11,"['v', 'ə', 'lʲ', 'ə', 'n', 'tʂ', 'a', 'f', 'a', 'ʁ', 't', 'lʲ', 'ə', 'n', 'f', 'l', 'a', 'ɪ', 'ɛ', 'x', 'ə', 'n', 'tʂ', 'e', 'ɔ', 'd', 'ɪ', 'x', 't']",2,SetLightBrightness,Set the entire appartment light to two,smart-lights-en-far,1007.wav
12,"['ʂ', 'ə', 'ʁ', 'j', 'ə', 'v', 'ə', 'l', 't', 'uə', 'a', 'ɪ', 'ə', 'm', 'n', 'ɪ', 'n', 't͡ʃ', 'ɛ', 's', 'l', 'e', 'tʂ', 'ə', 'n', 'f', 'w', 'a']",2,SetLightBrightness,Set the entrance lighting intensity to twelve,smart-lights-en-far,1008.wav
13,"['tɕ', 'ʒ', 'iː', 'v', 'ə', 'v', 'w', 'a', 'ɴ', 'ɕ', 'ɔ', 'ɒ', 'iː', 'zʲ', 'ɛ']",1,IncreaseBrightness,Set the entrance lights to a brighter setting,smart-lights-en-far,1009.wav
14,"['k', 'e', 'ɴ', 'i', 'o', 'k', 'uː', 'i', 'iː', 'l', 'tʰ', 'uə', 'a', 'b̞', 'a', 'ð', 'o', 'a', 'ɪ', 'a', 'p', 'o', 'm', 'e', 's']",0,DecreaseBrightness,Can you please lower the lights for me,smart-lights-en-far,101.wav
15,"['v', 'ɛ', 's', 'a', 'f', 'ə', 'l', 'ɪ', 'ə', 'z', 'ɪ', 'ə', 's', 'l', 'a', 'ɪ', 'x', 'ʃ', 'uː', 'l', 'ɔ', 'ɪ', 'n', 'a', 'ɪ', 'f']",2,SetLightBrightness,Set the facilities lights to thirty nine,smart-lights-en-far,1010.wav
16,"['e', 't', 'iː', 't', 'a', 'lʲ', 'ə', 'm', 'a', 'ɪ', 'ɛ', 'n', 'ɪ', 'n', 'ts', 'ɔ', 'a', 'ʊ', 'w', 'ɔ', 'f']",2,SetLightBrightness,Set the garden brightness to level twelve.,smart-lights-en-far,1011.wav
17,"['l', 'a', 'ts', 'ɔ', 'a', 'ə', 'a', 'ɪ', 'ə', 'f', 'u', 'm', 'i', 'n', 'z', 'ɛ', 'h', 'ɪ']",3,SetLightColor,Set the hallway lights to pink please.,smart-lights-en-far,1012.wav
18,"['s', 'ɔ', 'i', 'ɳ', 'ɪ', 'x', 'a', 'ɴ', 'k', 'e', 'lʲ', 'e', 'ð', 'ə', 'tʂʰ', 'w', 'ɔ', 'n', 'ə', 'ʁ', 'ɪ', 'tʂ', 'u', 'ɕː', 'ɪ']",2,SetLightBrightness,Set the intensity of the toilet lighting to two,smart-lights-en-far,1013.wav
19,"['ə', 'ts', 'ɪ', 'tɕ', 'y', 'f', 'uə', 'n', 'uː', 'm', 'ɪ', 'ɛ', 'ts', 'u', 'f', 'a']",2,SetLightBrightness,Set the kids bedroom lights to five,smart-lights-en-far,1014.wav
20,"['t', 'ɪ', 'ð', 'uː', 'a', 'd͡ʒ', 'ə', 'ɪ', 'n', 'a', 'ɪ', 'n', 'iː', 'f', 'ɪ', 'm', 'ɪ', 'x', 'ɪ', 's']",2,SetLightBrightness,Set the laundry room lighting to ten percent,smart-lights-en-far,1015.wav
21,"['v', 'ɪ', 'z', 'ə', 'n', 'a', 'x', 'v', 'a', 'd', 'ə', 'n', 'ə', 's', 'l', 'a', 'l', 'd', 'uə', 'ð', 'ə', 'n', 'ð', 'e', 'ə']",2,SetLightBrightness,Set the light brightness level to twenty,smart-lights-en-far,1016.wav
22,"['tɕ', 'ɪ', 'tʂ', 'ə', 'a', 'ɪ', 'k', 'a', 'ɾ', 'ʐ', 'tɕ', 'iː']",3,SetLightColor,Set the light color to blue,smart-lights-en-far,1017.wav
23,"['ts', 'ɛ', 'ð', 'a', 'ɪ', 'zʲ', 'pʲ', 'ɪ', 'ɾ', 'zʲ', 'ɪ', 'a', 'ɒ', 'ð', 's']",0,DecreaseBrightness,Set the lights dimmer in the office,smart-lights-en-far,1019.wav
24,"['ɪ', 'iː', 'm', 'ʏ', 'ɪ', 'ð', 'ə', 's̪', 'uː', 'ɡ', 'a', 's', 'uː', 'm', 'a', 'ɪ', 'ə', 'ð', 'o', 'b̞', 'a']",2,SetLightBrightness,Can you please set the bathroom lights to five?,smart-lights-en-far,102.wav
25,"['k', 'ts', 'uə', 'a', 'ɪ', 't', 'ə', 'l', 'ɔ', 'a', 'tʰ', 'e', 'l', 'ɔ', 'n', 't͡ʃʲ', 'uː', 'ʁ', 'a', 'l', 'ts', 'ʏ', 'ɪ', 'x', 'ɪ']",2,SetLightBrightness,Set the lights in the laundry room to level two,smart-lights-en-far,1020.wav
26,"['ɛ', 's̪', 'n', 'w', 'a', 'ɛ', 'v', 'n', 'ʊ', 'ɒ', 'ʏ', 'l', 'ʌ', 'ɴ', 'tɕ', 'iː', 's', 'ә', 'd', 'ɪ', 'ɕ', 'i', 'l', 'ɪ']",2,SetLightBrightness,Set the lights in the laundry room to seventy-three.,smart-lights-en-far,1021.wav
27,"['ts', 'ɛ', 's', 'o', 'a', 'ɪ', 'n', 'f', 'ɪ', 'z', 'ə', 'n', 'ts', 'ɔ', 'ʏ', 'ð', 'ə', 'tɕ', 'i', 'b̞', 'ə']",3,SetLightColor,Set the lights in toilets to red,smart-lights-en-far,1022.wav
28,"['ts', 'ɔ', 't', 'ʊ', 'ɪ', 'n', 'ɕ', 'uː', 'ʁ', 'ə', 'ʁ', 'a', 'ɔ', 'ɪ', 't͡ʃ', 'a', 's̪', 'ɻ̩']",1,IncreaseBrightness,Set the lights to a higher intensity,smart-lights-en-far,1023.wav
29,"['ts', 'a', 'ts', 'ɔ', 'm', 'a', 'ts', 'o', 'ʁ', 'a', 'ɪ', 'n', 'zʲ', 'ɛ', 'l', 's̪', 'u', 'ə', 'n', 'ɛ', 'ɕː', 'ɛ']",1,IncreaseBrightness,Set the lights to a higher intensity in the changing room,smart-lights-en-far,1024.wav
30,"['ts', 'a', 'ts', 'o', 'a', 'ɪ', 'ð', 'ts', 'uː', 'ə', 'x', 'a', 'ɪ', 'ð', 'n', 'x', 'a', 'n', 't͡ʃ', 'ʀ', 'ɪ', 't', 'ə', 'a', 'lː', 'ə', 'l', 'ɪ', 'a']",1,IncreaseBrightness,Set the lights to a higher intensity in the living room,smart-lights-en-far,1025.wav
31,"['ts', 'a', 'ð', 'o', 'm', 'a', 'ɪ', 'ts', 'uə', 'e', 'v', 'a', 's', 'a', 'zʲ', 'a', 'ɾ']",0,DecreaseBrightness,Set the lights to a less bright setting,smart-lights-en-far,1026.wav
32,"['s', 'a', 't̪', 'o', 'l̪', 'a', 'ɛ', 'tʂ', 'uː', 'l', 'a', 'ə', 'f', 'a', 'tʂ', 'uə', 'e']",0,DecreaseBrightness,Set the lights to a lower intensity,smart-lights-en-far,1027.wav
33,"['a', 'uə', 'ɪ', 'ts', 'ɪ', 'ɡ', 'ɪ', 'm', 'ɔ', 'n', 'i', 'ɾ', 'ə', 'a', 's']",3,SetLightColor,Set the lights to green in the large meeting room.,smart-lights-en-far,1028.wav
