,wav_id,transcript,label
0,5ec81530f9d8cfab8a0142288deffcc5_59b8da2533279304b60000b7,n a l ts a ɪ n ʁ i m iː ʐ ə ʁ w a lʲ ə v a ə,1
1,4de8df5214275640beeaf8ef909d36c1_59be506033279334e700002e,ʔ ɨ z ɔ ŋ̟ k͡p̚ i t͡ɕ a,1
2,4de8df5214275640beeaf8ef909d36c1_59be506733279334e7000035,ɻ ɒ æ n ɴ i x a o tɕ i,1
3,4de8df5214275640beeaf8ef909d36c1_59be506c33279334e700003a,ʔ ij s̪ ʌ ɕ i a ɴ a n m i n x a o tʰ i n,1
4,d7341e058b73fbf990c90a6d7d4e8fc8_59acbda733279303b300002c,ts ɔ t iː ð ə w a,2
5,8db61ae7de7a4aade7f078935d746db8_59ba50cb33279304ae000009,ɕ i ɕ i æ n j i o uə tʰ a,1
6,1f4cd5e2dbdb22eb211cac483b89eb80_59b8e2013327930a9000001e,tɕʰ i ʁ o ŋ ʂ p uə tʂ o g a o ʂ uə o,1
7,ba96c2ccefa0f65748dfcb2facdb96c3_59ab32ed33279304b9000012,s̪ a v uə a d ɪ a d ʁ j,1
8,ba96c2ccefa0f65748dfcb2facdb96c3_59ab32ff33279304b900001e,d iː a o tʰ o m i o i æ n x ʌ i ð a,1
9,9707e8ce04d7e42f93e4e5edbbfbc7b8_59be19d1332793057c000030,m i n x a x ɒ x a t͡ɕ y ɕ ɻ̩ ʂ ɻ̩ b̥ a ɪ tsʰ e n ts ɒ ɪ,1
10,620d12480c4f99b96d9f6337656d2f95_59b6645a3327930b2a00002f,tɕʰ y l a ɪ ʁ ә n ð a ʒ,1
11,8f7b8813141c8dbbaaf06edda19e4cb5_59aed557332793050400043d,t ɒ x a ɴ tʂʰ uə tʂ o ŋ z ʌ æ n p e ɪ l uə o ʂ ɻ̩ x a ɪ tɕʰ i ɪ i x a o,1
12,8f7b8813141c8dbbaaf06edda19e4cb5_59aed56d3327930504000444,ʊ n t͡ʃʲ ɪ ŋ z a m ɛ s ɔ ʐ,1
13,d3d96be7df7afc8ab8fe665665843c80_59bc9a633327932a7d00000d,e j i e ʂ uə ɒ iː,1
14,ee8721d3fafa471094aaa813f3877492_59b1fa593327932188000028,l a m b i æ n ɴ j a ŋ w a ɪ k uə e ɡ ʌ i ŋ ɴ i j æ n j o uə j a l ɒ,1
15,64085504ced7b0ae0274fbe4d877bdfc_59af3f2233279304c800012e,x ɒ x a t͡ɕ ɪ ə uə i n,1
16,5edb1ec8e0c03b52c48a3731c995d3f8_59bb20523327930470000023,b̞ ɒ a v o t͡ɕ ɒ x a ɴ d ɒ ʂ ɒ t ʌ tɕ i ŋ uə e l̪ lʲ i n ʂ ɻ̩ j e,1
17,028592962cea2c3d798f6f2b687c6b94_59c21e5433279314f60000b0,s ɹ̩ ts uə tɕ i ɒ t ə pʲ i s uə,1
18,028592962cea2c3d798f6f2b687c6b94_59c21e6933279314f60000bf,ɪ s k a b̞ w a tʲ ʒ,1
19,028592962cea2c3d798f6f2b687c6b94_59c21e7133279314f60000c5,s ɹ̩ tʂ uə t͡ɕ i æ,1
20,861c29651a891c1884830d80cf6a19eb_59b7f3dd33279358e400000a,ɒ ʊ ɴ t͡ʃʲ y ɕ i a n t͡ʃʲ ɪ tʲ iː n ɔ ŋ̟ k ɛ o v j,1
21,6999b8859c45b3995c78f5547deb8c76_59afcf2d332793051b00012b,t͡ɕ ɒ l̪ h ɒ ŋ k͡p̚ ʌ ɳ t̪ ɒ h ɛ ɳ u ŋ̟ l ɤ̆ ɳ,1
22,6aafb728e0093ca42c97cd665cdb4b4a_59ab3bfc33279309e600000e,a ʒ ɒ lː o f w a b̞ uə z ɒ,1
23,93d0c820faad64ef16c9110384c5c041_59b0fabd33279305d0000019,ɔ ɛ ə v w a ʝ a ɡ,1
24,002adc8d384df8924b37c06cfa346056_59bb3c0c33279320e5000016,ʂ iː tɕ j ɒ d ɒ x ɒ,2
25,78c5ced862c1b6699790ebe79b9079ac_59c1b44f3327930ba9000037,k͡p̚ w uə o j a t̪ ɒ n m e ɪ tɕ i k͡p̚ uə a,1
26,d9555d7fb5ab1e094f1329909a255fe8_59aa5e6333279332f000005a,m ɒ ɾ t͡ʃʲ e t iː uə x ɒ,1
27,ea4845379ba82bccac34e606604ab7d4_59ac8eca3327930d3300001e,m a l̪ o t̪ ɒ o ɕ i æ n o ŋ v ɪ e i ŋ t̪ʰ a n,1
28,033a82ca4fa9ae907859cd240c61e157_59bcc337332793049d000016,t a ts uə ɪ z a x ə a m i ɪ ʁ ɪ tʂ uə ɪ,1
29,262614f9ee252d150b948e932d505966_59b633173327933a32000092,tɕ i s ʌ ɴ ʌ tɕ i a t a k o lʲ j uə a,1
30,cab131641ebbbebdb0e57887862a02e5_59bb534f332793186100000b,d a n ts a ɪ t͡ʃ ə t͡ʃʲ ɪ ʀ a zʲ ɪ x p a,1
31,97aaf7c0525439d81b897b1125bf0e51_59c1e1f233279304b9000054,ʂ y f uə t i ŋ tɕ i a j o uə ʂ a,1
32,97aaf7c0525439d81b897b1125bf0e51_59c1e20933279304b900005b,tɕ n zʲ y ʁ a,2
33,97aaf7c0525439d81b897b1125bf0e51_59c1e20d33279304b900005e,ɕ y ɕ i o p ɒ,2
34,2f50367b20800e161c8df848f367bfeb_59aa4d55332793124400001e,ɑ ə n d a ʊ l̪ tʂʰ a ŋ a l̪ l ɔ ʐ a ɪ m a ɡ i ŋ ə n dʲ ɪ ə o m a ɪ n f a n z a n dʲ ə,1
35,f064ddbd81942caaf4691395292f59b6_59abed173327930529000014,m e v ɒ o lʲ ɪ n i n s̪ i ŋ t a o kʰ ʌ m i n ʂ ɻ̩ a n i e n tɕ i j ə ɕ i a o tɕʰ i,1
36,71fe79e93cd20f270aba9e972188a935_59af259333279303bb00001f,ɪ ɳ t a ʁ lʲ ɪ ʎ ɛ p ɒ n ɛ ʁ a ɟ iː tʲ ɛ n ɛ ɕ j a,1
37,c04d571279bf3b909d56135f907da5e3_59abeeee3327930a56000099,tʂʰ o ŋ ɕ y ɕ i e j ɒ ɻ ʌ n m i ɴ ts ʌ ŋ p uə,1
38,c04d571279bf3b909d56135f907da5e3_59abeef93327930a5600009c,tʰ o ŋ ɕ y ɕ i æ n t a k͡p̚ ɕ i a ɒ o,1
39,c04d571279bf3b909d56135f907da5e3_59abef153327930a560000a5,tʰ o ŋ ʂ ɻ̩ i æ n ð ʌ n i n t ɒ o f uə o,1
40,e49022e0d2de312db1b88f7e8b0eedbe_59b364463327931e370000db,f ʊ ɾ t͡ʃʲ i l,1
41,78ef8cc1f4fcde78be8b08d559f03f90_59b4a80b3327930cde000046,d a h ɒ m ɔ s ʌ,0
42,78ef8cc1f4fcde78be8b08d559f03f90_59b4a8123327930cde000049,ɻ i ŋ ts a ɕ i l uə,1
43,78ef8cc1f4fcde78be8b08d559f03f90_59b4a83c3327930cde000056,p i uə tɕʰ y l ɪ a o,2
44,bc60ca1f8452b08e8fe762becf84f95e_59bf7a353327930a4a00002e,p a x a ŋ tɕʰ iː tʂʰ æ n t uə ʂ ɻ̩ l o ŋ ɕ e i tɕʰ iː,1
45,6e8e8911c7a1a440148ac8a7b670b391_59b62b13332793146a00000b,t͡ɕ ɒ ŋ̟ a t̪ ɒ h ʌ m i t̪ æ ɳ t̪ ɒ t̪ ɒ t͡ɕ i ʂ ɒ n s̪ ɨ ŋ ɒ,1
46,827f3765bb6edb5f30ab2d11d19b7259_59b7b898332793360b00000f,w ɒ o t a ð l a o tʂʰ ʌ ŋ ʂ ɻ̩ ts ɪ tɕ i e j e ʂ ɻ̩,1
47,4f44fc714bcbae40119dda0dac0f38b3_59b29d0333279304da000023,ʂ o a d ɒ ʂ o ʌ t͡ɕ ə o ŋ ɴ ɒ ʏ t e ɴ ɪ o,1
48,001bfd1d892e2aeb678e58174c187e3e_59bf67fc33279326e000009c,t a o tɕ i tʂʰ ʌ ŋ,1
49,40663dbd6b711b1cc4c00ba68a1f680f_59c07eb6332793350b000047,t͡ɕ i s̪ n ɛ t̪ ɒ w ʔ a ŋ̟ l a k͡p̚ u ɲ ɔ l a ŋ b̥ uː ə j ʔ ʌ ŋ̟ l a,2
50,6c7e81ee87d2fc2573b0a6a3c354906d_59b62f05332793050f0000c3,a ʁ ə m ɪ dʲ j œ s a,1
51,e43951bd09a0bf2c236c23d33c219992_59bde54d332793123e000018,ɔ̃ n a o tʂ ɾ uə ʐ a i e,1
52,adf874387d5a223e9482d4be0d4fd9ab_59bbd8c8332793533e000026,ɪ zʲ t͡ʃʲ iː s ə a,1
53,83b34e1794ef34108129896b1f41a536_59b915653327930aa40003ca,zʲ ɪ s ə tʲ a,1
54,29a5cc753777a9aad8712c164811d5c6_59bb3dcf332793231500001e,m ɔ̃ tɕ i a ŋ ʂ ɻ̩ tɕ i,1
55,bb73231446f09803e268b14044b1af34_59adfe9a33279314dd000092,o s̪ ɔ a,0
56,0474c798c0d25b6de7da4253631ad279_59bf5ab733279305320000de,tʂʰ o ŋ ɕ i ɴ d ɒ o x ɒ,0
57,0474c798c0d25b6de7da4253631ad279_59bf5abb33279305320000e3,ɒ x a o tɕʰ y t i x a n o,1
58,48a6dca8dec80604b2622e3bc5112956_59b8b3e433279304c2000036,t a o ʂ ɒ o d͡ʒ i e tɕʰ i ʂ ɹ̩ x ʌ,1
59,2ec008232efefbf958a1461585f03ec0_59b892a5332793071300001b,k͡p̚ i ɹ̩ t ɒ o ŋ x a ŋ d ɒ ʁ uə a ɾ ɒ n ʂ ɪ b̥ ɒ n ɴ ɒ o x uə ɴ o ŋ tʂʰ æ ŋ,1
60,e18b38741f1503fc27e80f1a47bca4a0_59acd778332793100d00000e,p i ŋ ɡ o kʰ a ɪ t͡ɕ i ɾ ɒ o x a t a o x uə a ð i æ s̪ ɨ ə,0
61,4c22815eae141236329daff3104ee2a8_59b60b2033279304ba00000c,ɒ d ɒ a m iː ð uə i ɾ æ m ɪ o i m,1
62,8187f5e4cb36a82702d65ce3bfd31170_59be221e332793052c000121,ə m ɪ ɕ ɔ̃ ɾ ɒ tʂ ʌ tɕ ʏ ə s̪ ә ŋ̟ d a ʁ x ɒ,0
63,cf5f919899291922f0856dd8c36ed81a_59bedbe43327930bf0000008,m ɨ a t͡ʃ iː ɕ j e ɒ ɴ j a l uə,1
64,6219ea6dfaa0bc046f4956f542b6cc44_59be005d332793076000005b,w a ɔ t ɪ dʲ ɪ d ɔ tɕʰ iː t ɔ lʲ a ɒ ʁ ʝ a tɕ iː ʁ ʃ s ɛ̃ ʁ zʲ iː t ʁ a ʊ ŋ̟,1
65,7c05963c317a5390b6d368a431f9b13d_59be078e3327931f0b000032,t ɒ ʁ a n d ɒ ɕ ɪ æ ʃ ɻ̩ d ɔ ŋ̟ k a n iː œ ɛ,1
66,680370eb67ada20e5c67e29da5ae5853_59b86a8f3327930551000016,x a ɻ ŋ d ɒ o p uə a l̪ ʌ n tʂ o ŋ ɕ y ð ɒ tɕ i n a n ɕ i a o tɕʰ y,1
67,673ee20ce9f6cb889f1d5ed74506ebd7_59b1156833279314ab00000a,s̪ a ɴ ɒ s ɔ,0
68,b164bac7b1974efbdc41a4699291d8d2_59aa157d33279304fe0001a4,t͡ʃʲ y æ ɴ d uə ʌ tɕ i ɒ ʁ j o ts ɒ ɾ,1
69,b164bac7b1974efbdc41a4699291d8d2_59aa158833279304fe0001a7,fʲ ə ɴ ts ɹ̩ t e ʁ ɔ ð a l,1
70,b164bac7b1974efbdc41a4699291d8d2_59aa159433279304fe0001aa,k ə n t ɪ t̪ a ʊ x ɑ ɡ,0
71,b164bac7b1974efbdc41a4699291d8d2_59aa159b33279304fe0001ad,ɪ tɕ iː v ə tɕ ʁ j o uə d ɒ,1
72,b164bac7b1974efbdc41a4699291d8d2_59aa15a633279304fe0001b0,ts ʏ ɪ tɕ iː n ə k a ð b̞ a,1
73,b164bac7b1974efbdc41a4699291d8d2_59aa15b033279304fe0001b2,ts uə t͡ʃʲ t uə s ə t͡ʃ uə,2
74,fc124ec1c7db0d919f173f4186fb7a60_59bcab9033279342cf00000a,ʁ uə e ɪ tɕ i æ ŋ,1
75,20a29a71ccd6e3a48be9eeaafdda1b98_59ab61c233279343e3000008,m o ɪ ʔ ɒ b e t͡ɕ ij æ,1
76,b2f9e020c17edb0b469bb51d7c0f3758_59bf6d113327930786000070,k͡p̚ ɔ n ɴ tʂ ɒ tʂ ɔ a s̪ ɴ,0
77,5836d3d79a0b6321b7f4a39cc25aa9db_59ad71983327934dd6000010,t a o x ɒ ʀ ɒ tɕʰ y j o ʁ ɒ ɻ ʌ ʂ ɒ t͡ɕ i ʂ a ŋ,1
78,d16ff545e6f3d0ea62cf480dc9ca5d67_59bf6da0332793055a000035,ɒ a x ɒ,0
79,d16ff545e6f3d0ea62cf480dc9ca5d67_59bf6da3332793055a00003b,p o ŋ w a ŋ ʂ ɻ̩ ʂ ɻ̩ tʂ a n tʂ ʌ ɻ ɪ m ʌ n tʂ ʌ ŋ o,1
80,fdabfdac07fb6ae98c573a8f7e89754d_59af4e863327930b0a0000d1,k͡p̚ ɒ r ɒ p ɒ d uː j o ɾ,1
81,92bc257764fdc55cfef242583e82898f_59c083ff3327930d21000060,ɒ a p a,1
82,d88704e772224234c80ba110d9468556_59a8d95733279319f9000019,t ɒ x ә l ɒ,0
83,d88704e772224234c80ba110d9468556_59a8d95c33279319f900001f,k e m ә s̪ uː,1
84,d88704e772224234c80ba110d9468556_59a8d96633279319f9000025,ɪ ɕ ə,2
85,b6b75af4968d8975b76ef9b711a89834_59bbe2c533279304a1000080,ʁ uə i ʝ j a,1
86,20ae8c77f4cc744fd7a51bbd9e9f0ab1_59b9be37332793099100000c,d a ð ə a s ɔ n ɕː i n t͡ʃʲ v̞ʲ,1
87,9889788ac456191f0fe60846ccef0f1a_59ad516c3327935239000030,ʂ y tɕ i o uə t̪ i n,1
88,1f5a8c4040f5eacd44818820e78d36fd_59af97e93327937375000020,t b̞ s t a ʁ ɒ ɴ d a ɒ x uə ɪ ʂ æ f ɔ m ɨ s ʌ v w a æ ɕ j æ p ɔ ʁ t ɡ ɥ iː z ɛ ɾ,1
89,f8d7870d9600ed6fab423154cf4d286f_59a8dde53327930c3b000009,tʰ ɒ ɕ ɒ o x uə e ɪ t a o uə ɕ i ʂ ɻ̩ ʁ uə a tɕʰ i ŋ l uə tɕ i a uə t ɪ,1
90,dc2df050d59519ce259469c75de1f785_59be1fc9332793517f00005d,ʋ ɛ ts ɒ ɪ ɕ æ ɛ x tʲ a dʲ a n ð ts uː a n ts a ɪ s a,1
91,fd32e59ee019c572eb3d1c2a493ebca0_59b9203f332793728c000011,s ɒ x ɒ uə tʂ ɒ ŋ d uə tɕ iː ŋ x a k e iː ʀ o uə,1
92,d8887099214b07b1b792bd60f73848bc_59bdf32d3327930dea000019,ʁ o ɾ j tʂ ʌ ɳ,1
93,101d80c38e843b344be61bf11d7e933a_59b917293327937d5b00001d,p ɒ ɴ x a ŋ d a o n i ŋ g ɒ n ɕ i æ n x e ɪ tʂ o uə w uə e ɪ l uə n i æ a n b̥ a ɪ b̞ uə ts ʌ ɻ̩ x ɒ,1
94,1ea14e2cfb1137e6c71d0dca2b65a28a_59b7b3fe332793551500001f,ɕ i æ ŋ d i t a tʂ a o s̪ i x a tʂ uə ʂ a,1
95,f28b4666d031b6a0ee7f40db7ba6ed9c_59bfdc4433279345c8000021,b̞ o tʂ ɻ̩ ʂ ə n d i f a t̪ i æ n tʂ uə t i æ,1
96,6b504166674c5a96b5017baf8fa1220c_59acfd733327930516001108,ʔ ɒ x ʌ ɕ y d ʌ ð ʌ s æ s̪ ɻ̩ ð ʌ m iː ɴ t e s̪ uə,1
97,f01c6f317f2d61d98c5bb19584c9cbf5_59b22ab53327935ea3000010,t a o x a uə t͡ɕ i a ŋ t i ŋ ɻ æ n x a tʂʰ u ɡ uə e ɪ,1
98,fd25bb3b3148b0fbff7d9f64067a2eee_59bc68ed3327930943000008,t a o tʰ o t ɹ̩ j uə l ɪ ɒ o b uə tɕ i e tʂ e f a iː e,1
99,da97aeeefc57383ff759eb714c29959f_59a8fc6333279304ae000073,,0
100,b9cb48fcb7f9b268c37c9c3a69f76ffd_59b92c36332793057600000d,t a o x a ɴ t a o t͡ɕ i iː ə x ʌ ɕ ɻ̩ j,1
101,4194bfdebcc56a58595117af13acd5c3_59b1d3413327931ce4000008,p a ɒ lː a ɪ s p uə tɕ o n ɪ tʂ e,1
102,00dfa9382a10332bef4d056b9b397db1_59b7b9f1332793047b000017,tɕ i n ɔ s̪ ɻ̩ tɕ iː ʝ a ɪ zʲ a,1
103,3d1bf3fad5dd52381afa76ccf5d3238c_59b8c2e03327930fa2000010,ʁ ʌ ɴ b̥ a ɪ l o ɾ ʌ ŋ kʰ o ŋ ɴ a n ɴ o ŋ,1
104,54751d7e391d125c4fa5d01b74e56878_59bb8a403327930d7300001a,tɕʰ y ʂ ɒ ð ɒ ð ɒ f ɒ,2
